Package,Built
assertthat,3.5.0
babynames,3.5.0
backports,3.5.0
base64enc,3.5.0
BH,3.5.0
bibtex,3.5.0
bindr,3.5.0
bindrcpp,3.5.0
bitops,3.5.0
broom,3.5.0
callr,3.5.0
caTools,3.5.1
cellranger,3.5.0
citr,3.5.0
cli,3.5.0
clipr,3.5.1
clisymbols,3.5.1
colorspace,3.5.0
crayon,3.5.0
crosstalk,3.5.0
crul,3.5.0
curl,3.5.0
data.table,3.5.0
DBI,3.5.0
dbplyr,3.5.0
desc,3.5.1
dichromat,3.5.0
digest,3.5.0
dplyr,3.5.0
DT,3.5.0
evaluate,3.5.0
fauxpas,3.5.0
fivethirtyeight,3.5.0
forcats,3.5.0
fs,3.5.1
ggplot2,3.5.1
gh,3.5.1
git2r,3.5.1
glue,3.5.0
gridExtra,3.5.0
gtable,3.5.0
haven,3.5.0
here,3.5.1
highr,3.5.0
hms,3.5.0
htmltools,3.5.0
htmlwidgets,3.5.0
httpcode,3.5.0
httpuv,3.5.0
httr,3.5.0
ini,3.5.1
jsonlite,3.5.0
kableExtra,3.5.0
knitr,3.5.0
labeling,3.5.0
later,3.5.0
lazyeval,3.5.0
leaflet,3.5.0
lubridate,3.5.0
magrittr,3.5.0
markdown,3.5.0
mime,3.5.0
miniUI,3.5.0
mnormt,3.5.0
modelr,3.5.0
munsell,3.5.0
openssl,3.5.0
PeriodicTable,3.5.0
pillar,3.5.0
pkgconfig,3.5.0
plogr,3.5.0
plyr,3.5.0
png,3.5.0
praise,3.5.0
processx,3.5.0
promises,3.5.0
psych,3.5.0
purrr,3.5.0
R6,3.5.0
raster,3.5.0
RColorBrewer,3.5.0
Rcpp,3.5.0
readr,3.5.0
readxl,3.5.0
RefManageR,3.5.0
rematch,3.5.0
reprex,3.5.0
reshape2,3.5.0
rlang,3.5.0
rmarkdown,3.5.0
rorcid,3.5.0
rprojroot,3.5.0
rstudioapi,3.5.0
rvest,3.5.0
scales,3.5.0
selectr,3.5.0
shiny,3.5.0
sourcetools,3.5.0
sp,3.5.0
stringi,3.5.0
stringr,3.5.0
testthat,3.5.0
tibble,3.5.0
tidyr,3.5.0
tidyselect,3.5.0
tidyverse,3.5.1
tinytex,3.5.0
triebeard,3.5.0
urltools,3.5.0
usethis,3.5.1
utf8,3.5.0
viridis,3.5.0
viridisLite,3.5.0
whisker,3.5.0
withr,3.5.0
xml2,3.5.0
xtable,3.5.0
yaml,3.5.0
